,0
533,1
534,0
535,1
536,0
537,1
538,0
539,1
540,0
541,0
542,0
543,1
544,1
545,0
546,0
547,0
548,1
549,0
550,1
551,0
552,0
553,0
554,1
555,0
556,1
557,0
558,0
559,0
560,1
561,0
562,1
563,1
564,0
565,1
566,0
567,0
568,1
569,0
570,1
571,1
572,1
573,1
574,1
575,0
576,0
577,0
578,0
579,1
580,1
581,0
582,1
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,1
593,1
594,0
595,0
596,1
597,0
598,0
599,1
600,0
601,0
602,1
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,1
618,0
619,1
620,0
621,0
622,0
623,0
624,0
625,1
626,1
627,0
628,1
629,0
630,1
631,0
632,0
633,0
634,1
635,0
636,1
637,1
638,1
639,0
640,0
641,0
642,1
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,1
652,0
653,1
654,0
655,0
656,0
657,0
658,0
659,1
660,0
661,0
662,0
663,0
664,1
665,0
666,0
667,0
668,0
669,0
670,0
671,1
672,1
673,1
674,1
675,0
676,0
677,0
678,1
679,0
680,1
681,1
682,1
683,0
684,0
685,0
686,0
687,1
688,0
689,0
690,0
691,1
692,0
693,0
694,1
695,0
696,1
697,0
698,0
699,1
700,0
701,1
702,0
703,0
704,0
705,0
706,0
707,0
708,1
709,1
710,0
711,1
712,1
713,1
714,1
715,1
716,0
717,0
718,1
719,0
720,0
721,0
722,1
723,0
724,1
725,1
726,0
727,0
728,0
729,0
730,0
731,1
732,0
733,0
734,1
735,1
736,0
737,1
738,1
739,0
740,0
741,0
742,0
743,0
744,1
745,0
746,1
747,1
748,0
749,0
750,0
751,1
752,1
753,0
754,0
755,0
756,1
757,0
758,0
759,0
760,1
761,0
762,1
763,0
764,0
765,1
766,0
767,1
768,0
769,0
770,0
771,1
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,1
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,1
791,0
792,0
793,0
794,0
795,1
796,1
797,0
798,1
799,0
800,1
801,1
802,1
803,0
804,0
805,0
806,1
807,0
808,1
809,1
810,0
811,0
812,0
813,0
814,1
815,0
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,0
826,0
827,0
828,0
829,1
830,0
831,0
832,0
833,0
834,1
835,1
836,0
837,0
838,0
839,1
840,0
841,1
842,0
843,0
844,1
845,0
846,0
847,0
848,1
849,0
850,0
851,0
852,0
853,1
854,0
855,0
856,1
857,1
858,0
859,1
860,0
861,1
862,1
863,0
864,0
865,0
866,1
867,1
868,0
869,1
870,1
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,1
879,0
880,1
881,0
882,0
883,1
884,0
885,1
886,1
887,0
888,0
889,1
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,1
899,1
900,0
901,1
902,0
903,0
904,1
905,0
906,1
907,0
908,0
909,0
910,0
911,1
912,0
913,1
914,0
915,1
916,0
917,0
918,0
919,1
920,0
921,0
922,0
923,1
924,1
925,0
926,1
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,1
935,1
936,0
937,1
938,0
939,1
940,0
941,0
942,1
943,1
944,0
945,1
946,1
947,1
948,1
949,0
950,1
951,0
952,1
953,1
954,0
955,1
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,1
964,0
965,0
966,0
967,0
968,1
969,1
970,0
971,1
972,0
973,0
974,0
975,1
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,1
987,1
988,0
989,0
990,0
991,1
992,1
993,0
994,0
995,1
996,1
997,0
998,0
999,1
1000,0
1001,0
1002,1
1003,0
1004,0
1005,0
1006,0
1007,1
1008,1
1009,0
1010,1
1011,0
1012,1
1013,0
1014,0
1015,0
1016,0
1017,0
1018,1
1019,1
1020,0
1021,1
1022,1
1023,1
1024,0
1025,1
1026,1
1027,0
1028,1
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,1
1036,1
1037,0
1038,0
1039,0
1040,0
1041,1
1042,1
1043,1
1044,1
1045,0
1046,0
1047,1
1048,1
1049,1
1050,0
1051,0
1052,1
1053,1
1054,0
1055,1
1056,0
1057,0
1058,0
1059,1
1060,0
1061,1
1062,0
1063,0
1064,0
1065,0
1066,1
1067,0
1068,1
1069,1
1070,0
1071,0
1072,0
1073,0
1074,1
1075,1
1076,0
1077,0
1078,1
1079,0
1080,0
1081,1
1082,1
1083,0
1084,1
1085,0
1086,0
1087,1
1088,0
